12
0	1	(按等级)攻击力/魔攻增加	3	20	19	18	17	14	0	0	0	0	0	0	0
1	1	攻击速度增加	1	7	8	9	10	11	0	0	0	0	0	0	0
2	1	最大攻击力/魔攻增加	1	30	32	35	40	50	0	0	0	0	0	0	0
3	1	最小攻击力/魔攻增加	1	20	22	25	30	35	0	0	0	0	0	0	0
4	1	攻击力/魔攻增加	1	20	22	25	30	35	0	0	0	0	0	0	0
5	1	AG消耗量减少	2	40	41	42	43	44	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
10	2	防御成功率增加	2	10	11	12	13	14	0	0	0	0	0	0	0
11	2	防御力增加	1	30	33	36	39	42	0	0	0	0	0	0	0
12	2	盾牌防御力增加	2	7	10	15	20	30	0	0	0	0	0	0	0
13	2	伤害减少	2	4	5	6	7	8	0	0	0	0	0	0	0
14	2	伤害反射	2	5	6	7	8	9	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
16	3	杀死怪物时生命增加	4	8	7	6	5	4	0	0	0	0	0	0	0
17	3	杀死怪物时魔力增加	5	8	7	6	5	4	0	0	0	0	0	0	0
18	3	技能攻击力增加	1	37	40	45	50	60	0	0	0	0	0	0	0
19	3	攻击成功率增加	1	25	27	30	35	40	0	0	0	0	0	0	0
20	3	道具耐久度强化	2	30	32	34	36	38	0	0	0	0	0	0	0
21	4	生命自动恢复增加	1	8	10	13	16	20	0	0	0	0	0	0	0
22	4	最大生命增加	2	4	5	6	7	8	0	0	0	0	0	0	0
23	4	最大魔力增加	2	4	5	6	7	8	0	0	0	0	0	0	0
24	4	魔力自动恢复增加	1	7	14	21	28	35	0	0	0	0	0	0	0
25	4	最大AG增加	1	25	30	35	40	50	0	0	0	0	0	0	0
26	4	AG值增加	1	3	5	7	10	15	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
29	5	卓越一击伤害增加	1	15	20	25	30	40	0	0	0	0	0	0	0
30	5	卓越一击机率增加	2	10	11	12	13	14	0	0	0	0	0	0	0
31	5	幸运一击伤害增加	1	30	32	35	40	50	0	0	0	0	0	0	0
32	5	幸运一击机率增加	2	8	9	10	11	12	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
36	6	体力增加	1	30	32	34	36	38	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
